uuid,merged_human_frames
080411d9-41cd-40e2-b0ca-d530e55173ac,['none']
089a28c6-1de0-4904-9058-f3930cd1188c,['political']
0911b762-237c-4f1b-99e5-7637cbaed46a,"['political', 'economic']"
09374bdd-b16d-439b-b94c-3bb69027ab5e,"['health and safety', 'capacity and resources', 'none']"
099cf0bf-d7a9-4412-9097-c309ff57b791,"['economic', 'none']"
09a8c148-ac95-42c0-aefb-a1aab286851f,"['cultural identity', 'political', 'public opinion', 'none']"
0a2780ef-bdaa-4a1e-9a4f-fac7e5003137,"['economic', 'capacity and resources', 'none']"
0a49b3e1-dad9-4856-9fc5-bc515730eb92,"['political', 'capacity and resources']"
0a6a65fe-1529-46b2-a301-354dfa34f315,['health and safety']
0b328272-6b74-4022-a2af-c812872a4926,['political']
0b3aa94d-f3c7-4dab-9790-73761573d46f,['none']
0bbc2741-129c-4f1a-bbd7-043be994ef70,"['cultural identity', 'health and safety', 'capacity and resources', 'none']"
0be9b862-0e8b-4098-975d-382d2dd8dfa0,"['crime and punishment', 'security and defense']"
0ca56725-d093-480e-9d9e-cc3cb227a0f9,['none']
0cf7b3de-2f40-43a6-bf33-996ae27fafce,"['none', 'quality of life']"
0dacec4a-efec-4544-8efc-b89d8e21fc36,"['cultural identity', 'none']"
0df831bd-aa37-43a1-969b-04a18d3b279a,['none']
0e5f3b4e-1080-483b-8a78-7a2c4559b293,"['economic', 'quality of life']"
0ea38199-caed-41ca-958d-d1dbc0501678,"['cultural identity', 'public opinion', 'fairness and equality']"
0f1cb1f4-6797-4e8d-a03c-77a5ed5f2699,"['political', 'quality of life']"
0fc475fe-8b57-4e3e-894a-d6be537130c0,"['economic', 'health and safety']"
0fcfd8e3-c706-4021-8bd4-0e95a1be4c02,"['cultural identity', 'none', 'quality of life', 'health and safety', 'morality']"
103d3bb9-8316-490c-a01d-c3c04236f8ef,['cultural identity']
1141988d-e3f5-40b5-b049-40f22c5b4456,"['economic', 'security and defense', 'none', 'public opinion', 'political']"
1155c6db-cbe7-4ddb-8734-77a00bcc9356,['cultural identity']
11bc8b70-3aee-49e6-8341-c9b3274763e2,['none']
11cc37cf-5dd4-44b2-8545-68e6d8d382ae,"['none', 'quality of life']"
122011db-8be7-4ac4-b4c7-a00e65984475,['none']
12611745-bd10-4e23-8906-9be4a0b0b1e8,"['security and defense', 'legality_constitutionality_jurisprudence', 'economic', 'fairness and equality', 'none', 'capacity and resources', 'political']"
12821fad-8a17-4dfe-bdf9-0720182ded14,"['security and defense', 'health and safety']"
12f322df-fedd-47c9-a734-32962aebc1c7,"['cultural identity', 'political', 'security and defense']"
131f5de7-d7bc-48e5-8af8-e06ad9dfeec8,"['cultural identity', 'none', 'quality of life']"
13b599f3-89bb-4b45-af51-28c0c202e905,['quality of life']
13c36645-2724-4933-877e-11ea1e964c37,"['none', 'quality of life']"
1403304e-bd52-430b-b68c-24e491b64264,"['economic', 'quality of life']"
146e7630-f2da-4d3b-990a-6a3eef9972ca,"['cultural identity', 'none']"
1470c8c3-978b-460a-897f-26f9301559de,['cultural identity']
1471094b-e237-4d24-ae24-2e25ae386f17,"['cultural identity', 'none']"
14a36f44-2e64-4041-9a3c-68fd0238489d,['none']
14f8231d-54ac-4a81-a336-001d7d14b733,['security and defense']
1550bc4c-68cd-47c1-b04f-f5b5f524976e,"['none', 'quality of life']"
15625a74-65a8-4073-ab64-eee86671e14f,['political']
161a041b-0885-44ed-ad69-4aa6256c1857,"['economic', 'capacity and resources', 'quality of life']"
16597d6b-9a88-4c66-b5b9-3981a9100aaa,['public opinion']
1670efd4-b133-4e13-87f9-df572b002e08,"['economic', 'none', 'quality of life']"
167b6dc7-e472-4564-9761-04ab94ef281f,['health and safety']
16a91e31-9344-45db-9d4c-21d5fce043b4,['none']
17392dcb-0570-4728-b8cf-635c6caf5345,"['economic', 'none']"
177c7db1-9950-41d0-8a9c-336605fc4418,"['cultural identity', 'political', 'public opinion']"
182e50c3-8a27-47fa-b2c4-7c65e73a825c,['none']
18c19e01-7aef-42ef-b2ad-30b4a634a0a6,['none']
198f386d-dd9e-474e-bc70-e49da71ec5b9,"['economic', 'none']"
19cc4b22-1ccb-4290-9e20-90424f219380,"['economic', 'security and defense', 'quality of life', 'crime and punishment', 'health and safety']"
19f55748-715b-4422-8d1b-de6c94747acd,"['economic', 'none']"
1a02ce8d-02e8-46d9-9b63-a1ad3043e966,"['economic', 'security and defense', 'quality of life', 'capacity and resources', 'policy prescription and evaluation']"
1a118cab-d396-44e8-aa88-a161fb7ccb9e,"['cultural identity', 'none']"
1a1a5fb8-a108-4e43-8f7f-481e366a2490,['health and safety']
1a780e46-ff21-40e5-83e3-6c9216898e78,"['cultural identity', 'quality of life']"
1abb96e0-f965-49ae-b694-829de0c7a959,"['cultural identity', 'security and defense', 'none', 'public opinion', 'external regulation and reputation', 'health and safety']"
1b3040c1-8cfb-4668-afd4-fc4a116611f4,"['policy prescription and evaluation', 'capacity and resources', 'quality of life']"
1bbf1867-d074-4cde-a551-3f2d9358d990,['security and defense']
1bec9272-acdf-403a-b45b-ff32839a1641,"['none', 'quality of life']"
1c0a438f-475b-41d5-a0a9-316b833cc8e0,"['security and defense', 'none', 'quality of life', 'capacity and resources', 'health and safety']"
1c42b050-c4ae-44a6-8fe6-ae07f78d8f95,"['crime and punishment', 'security and defense']"
1cc0e435-54d7-443e-8bd4-f6b7840f03f7,['quality of life']
1cc49635-883f-408d-86b0-17ed6c9325f3,['none']
1de39a8b-4ca7-43d1-b0f5-518404ab63af,['health and safety']
1e34c07c-0625-43b2-9616-7cb935829cca,['political']
1e6e93cf-cd6c-40b3-9d59-de466fb4033f,"['political', 'quality of life']"
1ec54065-eb7d-45d9-b9ec-2abc4134df5b,['none']
1fa71cc5-8e50-400a-8a73-e4e3f11d194b,"['economic', 'none']"
1fd26d7d-11dd-4b2b-8f4d-f293eb02a29a,"['cultural identity', 'security and defense', 'economic', 'capacity and resources', 'public opinion', 'crime and punishment', 'political']"
201e88e2-77e3-4999-99db-a7681e56ad6f,['security and defense']
211fcb2b-dc83-45c1-8bcd-e9e34ea8ec46,['quality of life']
2259de42-57b8-4ef8-a5a1-a9f5422aa789,"['cultural identity', 'morality']"
226e7962-3165-4a30-b2d8-f264f1bf1ff6,"['cultural identity', 'none']"
22d09d53-859d-4139-8b77-4643790aa851,"['public opinion', 'fairness and equality']"
234ff4ab-0f3a-4d80-a75a-12a86f8a23c0,"['public opinion', 'none']"
23d37a3b-5230-47d9-a908-64b1db8bad62,"['health and safety', 'none']"
2438b4fe-f045-4bd9-8483-946325033548,['political']
247b2870-a773-4a7d-bf42-7c824580a5aa,['none']
247e332d-2aaf-4a48-9e57-8482a9874f9a,['health and safety']
24c24d85-afa6-4776-a16a-ef5f11beabf1,['none']
255541da-8117-49f3-9b26-033c21e37abb,"['economic', 'none']"
256331b6-a8eb-4f82-be18-2c68e2655f10,"['cultural identity', 'economic', 'none']"
269ca2c9-fb52-4710-bc1f-ccacd70c40bb,['cultural identity']
2736105e-7edc-4b6c-9570-2059d6c3a0d4,['crime and punishment']
273c6780-9acf-4ee3-a31e-e286d941994b,"['cultural identity', 'quality of life']"
280c3abb-bfd8-4090-9777-4b330351ccb6,"['health and safety', 'quality of life']"
28e45f2b-7bf9-4441-a3a1-aaed7c6151ff,"['political', 'none']"
29f11445-8424-4afb-a331-0814275b5a87,"['political', 'none']"
2a8e7780-39d0-4f4b-9eca-7a8a0be703ea,"['public opinion', 'fairness and equality']"
2aafef60-a3e5-45a0-8ccd-deda729c416d,"['capacity and resources', 'health and safety', 'none', 'external regulation and reputation']"
2afdcc0c-a0ab-4942-a6f0-252b18790c99,"['none', 'quality of life']"
2b6c0ba0-9883-4bae-a700-5d2a201e5de9,['none']
2b8a5458-a0cf-4b5c-bb18-4035760dfd82,"['health and safety', 'quality of life']"
2be5b479-7954-4727-bc75-65ae787800fe,"['political', 'none']"
2bec4b04-01d3-4b01-8328-acde4f069a1b,"['security and defense', 'health and safety', 'none', 'quality of life']"
2c53e957-02de-4ef3-bf10-ae4768b77009,"['political', 'public opinion']"
2c68dda3-ab53-469a-bcd4-21f032127301,"['cultural identity', 'political', 'external regulation and reputation']"
2c79ab0c-3445-4be5-bce4-945ff1e47da2,"['political', 'none']"
2d1c4aab-0a4d-4bad-b00f-1dcbb88d1e35,"['security and defense', 'economic', 'none', 'quality of life', 'capacity and resources', 'health and safety']"
2d26ab26-4bf7-42fd-b067-12316da20ade,"['political', 'none']"
2dbb392f-fce4-489b-aa95-c9b00030b7d8,"['health and safety', 'none']"
2dbfbf66-3d77-4999-b7ef-5a1d40aa04e1,['political']
2dbfef46-9007-4f91-81b8-e2f424a5d129,"['cultural identity', 'public opinion', 'none', 'quality of life']"
2dc3ce67-3549-41f5-a4d1-6fc67baa8f68,"['economic', 'none']"
2e54fabe-5901-4294-a3d4-8c1b462cfa36,"['policy prescription and evaluation', 'political', 'legality_constitutionality_jurisprudence']"
2e768c98-b3b2-44f2-ba4b-841ab96832ef,['none']
2f86d516-e78e-49fa-89e4-fc1bdf7076b2,['political']
2fffc246-866d-4dc4-affc-2b77d0aa6942,"['cultural identity', 'none', 'quality of life']"
3012df5e-1f31-4cb7-b16e-3d627aa770e8,"['capacity and resources', 'none', 'quality of life']"
30b34e40-e295-4f41-8dfa-9db98d94112b,['none']
30d97d69-661c-4cb4-947f-fe27a173fe4a,['none']
314ffff6-f245-4348-abaa-06bfea90efee,"['public opinion', 'political', 'health and safety']"
3167b153-9baa-4b55-8e0d-16f5c1e00cac,"['cultural identity', 'political', 'quality of life']"
3172e72c-04ff-47b1-9666-e0fa84b8d8b6,['none']
3265bda5-e829-4012-8783-abb64e8e63a2,"['cultural identity', 'quality of life']"
32c25976-6c8f-401a-960e-3fab97df6ee6,"['economic', 'none']"
333237dc-c2e5-4dea-885b-3211c4b85374,['economic']
33f23736-1ca3-44c3-bf16-9002e61b668f,"['economic', 'none']"
3466c671-aa86-4fa3-a71a-2ccef3a23df4,"['economic', 'capacity and resources', 'none']"
35687026-6ace-40eb-ac7c-a4a4c93e4833,"['economic', 'none']"
35a352f2-a52c-49aa-af63-b68e382c580f,"['capacity and resources', 'health and safety']"
3610905c-439f-4d13-b234-6eea3345bf5c,['public opinion']
365b03c8-4d1f-43ed-abd7-cc69006fd524,"['security and defense', 'health and safety']"
374b0c40-6a93-4110-b6ec-729b5ff55c3b,"['cultural identity', 'capacity and resources', 'quality of life']"
38439694-982b-4dfc-b861-692fce14c269,"['economic', 'none']"
38bb4759-6b5c-4f61-80b2-01c72bdc995e,"['none', 'quality of life']"
3929eead-b3aa-4ac5-8647-46d86240bf3a,['political']
395c6ac1-c7e7-440d-a2cb-2d0af9aaefc7,"['economic', 'none']"
3ba12c49-56ac-4eed-bf9a-fbb3c471d8cd,"['cultural identity', 'health and safety', 'quality of life']"
3c0d0c20-fa8a-4555-bffb-86f6c6b47a61,['none']
3c260fa2-9bb4-4337-84db-07a497160a1f,"['economic', 'quality of life']"
3c2f7097-6642-4323-92ed-c4ccfbc0e722,['public opinion']
3cdb486f-e05c-4182-a8e9-32ff07053912,['health and safety']
3e544452-3468-4705-a6f3-74e5ffb87c90,"['cultural identity', 'security and defense', 'legality_constitutionality_jurisprudence', 'economic', 'fairness and equality', 'crime and punishment', 'quality of life', 'capacity and resources', 'public opinion', 'external regulation and reputation', 'policy prescription and evaluation', 'political', 'health and safety', 'morality']"
3ee50edd-0e03-4222-a525-3b7b3a05b426,['political']
3f425548-afb8-49f7-9c58-9b2542afb840,['none']
3fe4c516-85d1-4b66-9aff-79287ac5f058,"['economic', 'quality of life']"
41273d80-164d-47de-b627-324411262681,"['cultural identity', 'crime and punishment', 'morality']"
415103cb-c19f-4cee-a675-31d9a8d09806,['none']
417b5a6a-00d7-4aea-9b53-f40f61dba66d,"['none', 'morality']"
42fcaa69-110d-40c0-9493-8dd4215f5129,"['health and safety', 'capacity and resources', 'none']"
433a4ec3-794b-4515-8521-8fd9c94285c2,"['political', 'security and defense', 'public opinion']"
43788daf-6f2e-4072-98db-eee7918dbff4,['crime and punishment']
43b877c8-0bd8-4528-9344-253fcbdf9f51,"['political', 'legality_constitutionality_jurisprudence', 'none']"
447e9b7c-8972-4129-b3e7-7636e6dbdea6,"['crime and punishment', 'health and safety']"
44aedfab-c8c2-48fa-a1eb-ecb79270ca5e,['economic']
44db3fe6-50f6-42a0-a6e0-0bd83fc901d5,"['none', 'quality of life']"
454ad364-9fd6-4728-8404-e3bcbb8c2382,['political']
455b0d9d-f032-4280-9258-d5a1f2cfca2b,"['health and safety', 'none', 'quality of life']"
45a4e5b0-12bc-43ec-a74e-f4d957f10bbe,"['health and safety', 'none']"
46f5211b-a566-40b9-b069-a65dc0c00aec,"['cultural identity', 'public opinion', 'none']"
46f8fdfb-ae90-4caf-a3d0-09db17900d30,"['public opinion', 'none']"
4748ad8e-3094-4cbb-b86f-1de49293eca7,['none']
474c63af-93a2-4779-aae3-15b59dabb3ad,"['crime and punishment', 'security and defense']"
483f822f-d464-49d0-a0ec-20dfcb6b3d10,"['crime and punishment', 'none']"
485c63fb-df66-4de5-b6f8-6128407d17c7,"['political', 'external regulation and reputation']"
488c0f3a-f5c5-4e1d-bda6-d9cc4f32623d,['none']
48ef90d7-5bbd-4d21-aa37-67e595a3f89d,['none']
4909c835-d1fb-45d2-8de6-6d7dd7a87ddf,"['economic', 'none']"
4913f1de-9d5d-47dd-a1d3-5303c24f6fcd,"['political', 'security and defense', 'none', 'economic']"
495f71b3-ab3f-4276-a39d-11a28c3aa030,"['none', 'quality of life']"
49935d2d-87ba-425b-b12b-72c52bdffa8d,['none']
49f2aa62-a79e-4d89-99f0-2f05e6b23d25,['quality of life']
4a0758a1-34d8-4167-abe6-d1aaf66e665a,"['public opinion', 'none', 'quality of life']"
4a19db3a-3b05-45cf-b2aa-8765630fb314,['economic']
4a779cef-5558-4237-ba2e-76bad774356a,['crime and punishment']
4a87b049-0127-46c4-bceb-15a1fd24cef7,"['cultural identity', 'security and defense', 'legality_constitutionality_jurisprudence', 'economic', 'fairness and equality', 'crime and punishment', 'quality of life', 'capacity and resources', 'public opinion', 'external regulation and reputation', 'policy prescription and evaluation', 'political', 'health and safety', 'morality']"
4a982030-c6b6-463b-93d1-8c12bcdf9edf,"['cultural identity', 'none']"
4a9fa461-3cd7-46bd-8c00-d943ea85b159,"['none', 'quality of life']"
4ad14c88-304a-4d67-b1c8-2033b20701c0,"['economic', 'none']"
4b17430a-02cb-45ad-b710-b20ad17071e8,"['cultural identity', 'none']"
4b63ac86-5aed-4da2-a522-e8a9fbbe65f4,"['none', 'quality of life']"
4b69c8f5-86b6-4a86-8443-ea7718e83626,['none']
4b8498d1-432f-46f6-b303-05befb59c62d,"['economic', 'none']"
4b912008-08c7-448c-908b-520bff3f3312,"['none', 'quality of life']"
4b9ec936-ba33-49ae-a944-6503ea34b313,"['political', 'security and defense', 'public opinion', 'fairness and equality']"
4ba323b0-8a84-4027-a5a9-d48b8346e4ba,"['cultural identity', 'quality of life']"
4bfeb0bb-aa75-4a7a-bcae-d1a4a4350c46,['none']
4c1ed2e6-cf5c-4bbd-a996-24e948d9b272,"['policy prescription and evaluation', 'public opinion']"
4c3a830a-eb76-43d6-a09e-75799e8e031d,"['security and defense', 'health and safety', 'none', 'quality of life']"
4c7c759d-514d-483c-ba5f-3c004368bc0f,['security and defense']
4c890f0d-6385-449e-a518-0b7bf03ff3f6,"['political', 'none', 'fairness and equality']"
4d354a22-b2c7-4015-ad08-7f10e458cd87,"['crime and punishment', 'security and defense']"
4d393822-3ea4-4501-ba66-3fea101c9a9a,['quality of life']
4e1dfb81-735e-4597-93f9-e9722d12806a,"['public opinion', 'security and defense', 'health and safety', 'quality of life']"
4e5b14c4-abfa-47ee-a52c-7037ff799a4d,['cultural identity']
4f1a97dc-8d2c-4ca9-a567-6ac18ad5d64d,"['cultural identity', 'security and defense', 'legality_constitutionality_jurisprudence', 'economic', 'fairness and equality', 'crime and punishment', 'quality of life', 'capacity and resources', 'public opinion', 'external regulation and reputation', 'policy prescription and evaluation', 'political', 'health and safety', 'morality']"
4fc4f76e-e1c9-421c-9e70-21171ca24db8,['none']
4fc8975b-8119-4c50-b5b6-305767bdd85c,"['cultural identity', 'economic', 'none']"
50520277-4efc-419c-8406-05441cf74848,['political']
5061ebf7-cf82-43c9-a079-d34d94506e33,"['health and safety', 'none']"
5079dd32-a048-48fb-a3aa-79012610c750,"['economic', 'capacity and resources', 'none']"
50d183f3-81ee-493c-8206-0ba8f46d047c,['none']
50edf513-e959-418f-b151-2997fb2f4f75,['external regulation and reputation']
50f1381f-34e6-4f75-bde1-1bc2e9dff7d5,"['cultural identity', 'none']"
5100d817-1741-4451-8fcb-ea0fb71430b8,"['none', 'quality of life']"
5147718c-60ee-4676-a09e-ad25b95bd344,['economic']
51eed6aa-9446-41c3-9e21-30eaa2406b9b,['none']
52480f35-d4ea-4132-a4f6-787de16b0828,"['economic', 'none']"
5256f8cb-6f42-4ffd-8f7b-745fcaefd75f,"['health and safety', 'none']"
5273e062-ff0e-4b32-a1f5-ee732df0b18b,"['none', 'quality of life']"
52e1be32-638e-4115-a78d-aff58e014a58,['quality of life']
532c44f2-23eb-42bd-a68a-4edd18608e66,['political']
54100bb0-bb43-4ea2-87bf-1c2467de53d3,['none']
54a0b6f4-42f8-46a1-9161-1163529d5c5d,"['economic', 'health and safety', 'capacity and resources', 'quality of life']"
54cfd321-f54b-4915-8b57-6b724e21fc1b,"['cultural identity', 'public opinion', 'morality']"
54d1164f-fdd0-4392-a84b-9bb70d4a68ca,"['cultural identity', 'none']"
54dfad0b-2bf1-42d3-b826-436753a70d5a,['none']
54f2d5cb-b1f7-4a28-a3c9-52b69a1686ef,"['health and safety', 'fairness and equality']"
5511bb17-a02a-4900-8d6a-bbeda4e25d17,"['cultural identity', 'morality']"
5654a027-9be3-404b-88f6-cc80ff56bc6f,['cultural identity']
566f9fa1-f87e-4995-9b69-df2a489ac75b,['none']
5685640f-14fd-4834-af41-da3cfd5e7cb4,"['economic', 'none']"
5764aff4-5b04-40d7-804d-fa4806cf3ded,"['none', 'quality of life']"
58478711-415f-40f6-ab4c-d6af35cd9a36,['political']
586eeea5-43ff-4636-b669-a04ae7efa82c,"['cultural identity', 'none']"
58c2d191-bbfc-4b05-a54f-75ccc26c08a8,"['legality_constitutionality_jurisprudence', 'security and defense', 'economic', 'public opinion', 'crime and punishment', 'political']"
58e15587-c939-4657-8cef-0f27667d45d1,"['economic', 'capacity and resources']"
5907d470-241b-4f3a-8528-feecf855feb4,"['economic', 'none']"
59374504-6ad9-4ca9-87a9-2822a2a399c4,"['policy prescription and evaluation', 'political', 'security and defense', 'quality of life']"
5a9dc626-223b-4169-8b46-9204f30ff5bd,"['cultural identity', 'security and defense', 'legality_constitutionality_jurisprudence', 'fairness and equality', 'quality of life', 'public opinion', 'crime and punishment', 'political']"
5af50732-522f-4e97-a339-b1a99ff54001,['none']
5b532428-3f77-42c2-a51d-584a220bc343,['none']
5bad7b8a-3acf-4b96-9e8f-323bd368c841,"['economic', 'quality of life']"
5bd12fc2-3d40-4ecd-92c3-b079d3220cff,"['political', 'none']"
5be30564-4e33-4911-82c9-74774999a8cc,['none']
5c530841-d885-454b-a79a-85ca53e8fe55,"['security and defense', 'quality of life', 'capacity and resources', 'political', 'health and safety']"
5c63164b-d933-45f9-a741-4fff3214f3ce,"['health and safety', 'capacity and resources', 'none']"
5c8b46e8-d684-431f-bdfb-64fde582c9f4,"['public opinion', 'none']"
5d0388af-7ae5-4d62-88d1-787a60632f83,['none']
5dbc5541-9918-49f8-8817-0c2a0bd4a093,"['economic', 'quality of life']"
5dde5ce6-8fff-422f-882f-29f618eecbe5,"['public opinion', 'none']"
5e711a29-4f6e-458a-8287-3365f062e991,"['political', 'public opinion']"
5edf36b3-9c39-4b0d-b655-4ca1c437716a,['economic']
5f370d0f-2b2f-490f-bd0e-e70df1b6efbc,"['crime and punishment', 'health and safety']"
5f5651c9-0a46-4975-be3a-da9df356b90d,"['economic', 'none']"
5f92ac54-2b80-4b84-9690-5347d15fd248,['none']
60029099-7bc4-4ef4-aa25-563228f7cdb3,"['public opinion', 'fairness and equality']"
60d3d270-af8f-41b6-b6f0-3e4333e4b327,"['health and safety', 'none']"
61a73d5d-00a6-4797-a124-e4edf3232c11,"['political', 'quality of life']"
62669ae1-ac4f-48d8-b149-6abb623e977a,"['none', 'quality of life']"
626e381b-d00e-44a6-ae58-d03b63ec31cf,['economic']
62ad3315-afa9-45c8-9f55-caee8dd0b9d2,"['economic', 'quality of life']"
62c99a39-8a18-4f5d-bf4c-93c026a99e81,"['economic', 'health and safety', 'quality of life']"
62d339d3-ead2-45f9-b817-0275bd5d8623,"['health and safety', 'none']"
636ee5ce-b262-4424-8ec2-769eb084ef0a,['legality_constitutionality_jurisprudence']
647971c1-e166-4b1f-98ad-36d73f1ade2d,['none']
64886017-b960-4be8-a926-a82060ffcd6b,['none']
6536778e-6197-43b3-840f-f05a2478c7e0,"['cultural identity', 'morality']"
6559b60b-19a3-415b-bf2f-c947cace9375,"['public opinion', 'health and safety', 'none', 'quality of life']"
656407fd-23d1-4f43-b534-4aa29d423864,"['cultural identity', 'political', 'none', 'quality of life']"
6608ceb8-6668-41b0-8a19-f84bc5a4b7f6,['health and safety']
66359f5d-68fd-4a8d-ba40-c6dfc5eebd8f,['political']
66c13b5b-4979-4933-8fa9-d2690024d679,['cultural identity']
67430155-2751-47e5-92af-4172bbee72ea,"['cultural identity', 'capacity and resources', 'none', 'quality of life']"
67a96524-803a-4590-84fd-2a33d1310b27,"['cultural identity', 'security and defense', 'legality_constitutionality_jurisprudence', 'economic', 'fairness and equality', 'crime and punishment', 'quality of life', 'capacity and resources', 'public opinion', 'external regulation and reputation', 'policy prescription and evaluation', 'political', 'health and safety', 'morality']"
68883c25-ecb6-44f8-9c24-ced1684608d1,"['cultural identity', 'none']"
68f4669f-a450-4a48-a938-6722187ee7a5,"['cultural identity', 'quality of life']"
69b9602f-e6d5-4e7c-979b-6f587e9e70e2,['none']
69cc7b15-6271-439e-877f-c6983e3e11a9,"['capacity and resources', 'none', 'quality of life']"
6af157c3-23fc-4abd-8ba6-e8b1fc26b2b9,"['political', 'none']"
6b09724d-9f68-4448-af8f-97f0676530b3,['none']
6b55dcc3-e1dd-4322-96d1-42382d0a4fb1,"['crime and punishment', 'security and defense', 'health and safety']"
6bb2b5d1-5fd0-4384-b78e-a5d1ffbe456f,"['political', 'none']"
6c648a70-0b6a-445f-81ad-fa94f74b0e61,['public opinion']
6d7c4968-2f06-4cde-af80-41e4346aa8ca,"['economic', 'none']"
6e3ccef6-9b08-4184-974e-18e30bfae52a,['health and safety']
6f50df1c-1fd8-4673-83a6-185ad3cb601e,['health and safety']
7092e760-add1-4bd3-a67b-7fc75dccc431,"['legality_constitutionality_jurisprudence', 'economic', 'none', 'capacity and resources', 'policy prescription and evaluation', 'health and safety']"
709fa366-269c-49a7-8c30-d08dc1253676,"['policy prescription and evaluation', 'political', 'legality_constitutionality_jurisprudence']"
71466c1a-cc64-430f-8035-a0e0bf1261e4,['none']
7146a81a-30ac-411f-9980-ddbf1ea80cab,['public opinion']
71692453-2745-4906-8a92-e2313b8596ec,"['cultural identity', 'capacity and resources', 'none']"
71afde02-60f1-4f30-98bc-0c9b9cf1d4c1,"['cultural identity', 'economic']"
72570972-e6ec-4ed6-a5d8-0e6a4fe965b3,"['public opinion', 'none']"
728c1e5f-3d11-4230-8fb9-7d8c2c05ece9,"['cultural identity', 'security and defense', 'crime and punishment', 'political', 'health and safety']"
72b10c45-6261-421f-827e-ca33e50b41b0,"['none', 'quality of life']"
72dae0c4-d80c-45ba-a76a-ea043e7f210c,['health and safety']
73541cff-2b35-4c4b-9db5-7ebf208603a2,['health and safety']
751c11a1-4937-4082-8d67-2751e32e6009,['economic']
755fe87c-b1cf-4452-a700-da38c3cf1932,"['economic', 'none']"
75f23cae-469f-4ad5-b6bc-b86c41032bdf,['none']
76246247-c3e7-43bb-9d98-1ac0b4347857,"['cultural identity', 'none', 'morality']"
7709b229-0c0f-407c-b6ef-a5efdb5cbca9,"['cultural identity', 'none']"
774a1c41-6df9-4067-b279-40a17bd303d1,"['cultural identity', 'security and defense', 'none', 'quality of life', 'public opinion', 'crime and punishment', 'health and safety', 'morality']"
778fa9b2-7bcc-4d9e-b876-98a24e7e2970,"['economic', 'quality of life']"
77a8296b-ca28-4240-b2ff-6836ce4eafb1,"['cultural identity', 'capacity and resources', 'none', 'quality of life']"
77be14f1-8e8a-40a8-a19d-ad4bfe17dcf9,"['cultural identity', 'none']"
77fe1601-92d7-4dc8-b5af-ddd221274efa,"['policy prescription and evaluation', 'political', 'legality_constitutionality_jurisprudence', 'public opinion']"
780f5729-9dd1-461a-a26e-bda3bd514276,"['health and safety', 'none']"
7852ed2e-6da0-4fbd-b993-43abc782d4eb,"['policy prescription and evaluation', 'political', 'legality_constitutionality_jurisprudence']"
7881822f-ea97-46f7-ad90-4c45fa9f1eda,"['political', 'none', 'fairness and equality']"
78951db5-792e-4734-b4f6-8b9b8f33706b,"['none', 'quality of life']"
78a27510-bd67-4944-b881-392e98d1c50c,['capacity and resources']
78a660a2-d8d9-4045-8ae0-86151ea9408a,"['crime and punishment', 'health and safety']"
78ba9ce9-fbf1-4873-838b-23a468976032,['political']
7972ad67-78ea-40e4-9d5c-d9cffcdbf296,['none']
79f4d6fc-8815-424d-bd18-2592fab62a2f,"['crime and punishment', 'health and safety']"
7a03f1f3-1516-4467-8030-ff8d8f3d0f79,['none']
7a9930a9-3685-4a6a-a4c3-cb438a577a47,['none']
7ad6b1d2-fe20-40b8-83db-936c85b1410c,['none']
